"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Mudança de Uso da Terra e Floresta","1506038374.7768679","1544267008.3673673","1861945643.3782415","1695166921.9025507","1850519215.430611","2241280154.636406","2025120434.2051463","1961326999.1361866","1927045085.9191375","1876476068.2557652","1679274233.979499","1733470176.7053213","1835646220.380513","2412341729.4628606","2299484313.6631064","1895523972.3296473","1522919491.3711205","1264276401.0057862","1245079592.6574922","870638876.5390296","814182696.5704651","836065183.068563","887258604.5334427","1023029890.1622095","945751813.4981152","1076244554.5172064","1062669978.9768653","937750098.4270746","956538250.0385379","1352941436.0899825","1332201957.9930034","1454084460.8170881","1521705792.369775","1340945334.3477104","905607083.2847861"
"Agropecuária","389802278.1671291","402836053.7960606","410747758.1321987","415415750.9496473","424787443.77780724","428751164.66019875","402740416.7802819","410984686.5640887","417074422.9742364","422460502.22241384","437376941.0895903","453770600.7582222","467317148.2856275","496966080.4510604","517477232.7878618","517960832.25682527","517316077.50749665","502134278.69721776","511116777.44171137","516933556.13642776","533945397.07680964","538388187.6123767","536222908.07751274","541683182.0745676","546130122.3534217","551308526.3124188","562523950.7987499","561411742.7912489","559849850.8834955","562287558.9653612","575838530.3100924","597158812.5601394","617357045.0923911","630585067.685122","626045716.643171"
"Energia","191649893.58123285","197025417.55190066","200800935.57917506","205653534.7963962","214234974.93093413","229989162.03028443","248297672.99377215","263643477.49741822","272326434.790106","283704137.3391928","290012605.2017305","299378932.5769993","298288241.3312067","290503848.507121","306462416.2772156","318241854.7354504","321955998.3067825","336353188.7618562","354389717.6202222","342549327.2106421","375457611.12882566","389781714.18195385","422345196.4758103","453733331.19068307","479314827.04177177","455151992.9542688","422557695.43875676","430182406.8337881","408571140.4914879","412031150.7810059","390510459.1987543","437428041.18832284","415732473.64546174","420261195.12585855","423666229.2189654"
"Resíduos","31232988.726602703","32614420.868749715","33993245.23144488","35508271.928958386","37349507.603484154","39539469.1367541","41839075.88204784","43980048.26116219","46482127.64181869","49272135.15323048","52286376.04095814","55292401.16632287","58188332.09922486","60418943.305326745","62220120.55640602","64581661.03940526","66885001.940561265","67619029.62365131","69497384.67965743","69837775.77139595","71208494.28965905","73243443.5092133","74707601.83646983","78982502.83418559","81898628.28908631","85628099.35511532","88382668.77331349","89412336.033874","91288438.23685962","92699176.34907608","93021172.68930972","93542940.6529673","92194351.12781549","92373823.78681761","95698372.06015384"
"Processos Industriais","49896714.86955643","54985800.75469589","52906518.342315674","55241880.32762909","54527936.10106659","59571109.93413162","59174729.19803333","61619485.66666508","65765878.13268089","64521859.372101784","67645188.58533478","64751507.59502411","68758589.5991087","69087654.63577938","72340690.56494236","72397412.05544472","72816085.70092297","82770083.57052708","81531118.84662819","71993630.99598503","81356296.8903513","87726195.80813026","89877867.07499504","90871580.52514648","89387308.44908366","89482171.7274437","87613183.62800598","88223380.68014288","89146578.09451199","86824519.02829838","87366371.14017391","96324993.57354832","90832757.91321945","91646190.80241013","94208225.87574291"
